Item, Price
CHICKEN DÖNER WRAP,10.95
CHICKEN SHISH WRAP,11.95
LAMB YAPRAK WRAP,12.95
LAMB DÖNER WRAP,10.95
LAMB SHISH WRAP,12.95
MIX SHISH WRAP,12.95
LAMB KÖFTE WRAP,11.95
FALAFEL RED PEPPER RED ONION & HUMMUS WRAP,10.95
